链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
脉络膜肿物	H31.901	{"1_region_term": ["脉络膜"], "dummy_term": ["肿物"]}
颅眶沟通交界性肿瘤	D43.400x003	{"1_region_term": ["眶"], "dummy_term": ["颅", "沟通", "交界", "性", "肿瘤"]}
粒细胞白血病	C92.901	{"dummy_term": ["粒细胞", "白血病"]}
孤立性蛋白尿伴有弥漫性膜性肾小球肾炎	N06.200	{"dummy_term": ["孤立", "性", "蛋白尿", "伴有", "弥漫性", "肾小球", "肾炎"], "3_disease_term": ["膜性"]}
插管引起的尿道损伤	T83.800x001	{"1_region_term": ["尿道"], "dummy_term": ["引起", "的"], "2_operation_term": ["插管"], "3_disease_term": ["损伤"]}
二期梅毒湿疣	A51.300x005	{"dummy_term": ["梅毒", "湿疣"], "5_others_term": ["二期"]}
呼吸道结核的特殊筛查	Z11.100	{"dummy_term": ["呼吸道", "结核", "的", "特殊", "筛查"]}
外耳炎	H60.900	{"dummy_term": ["外", "耳炎"]}
进行性虹膜萎缩	H21.200x009	{"1_region_term": ["虹膜"], "dummy_term": ["进行性"], "3_disease_term": ["萎缩"]}
镇咳剂中毒	T48.300	{"dummy_term": ["镇咳剂", "中毒"]}
肝病其他特指的	K76.800	{"dummy_term": ["肝病", "其他", "特指", "的"]}
分类于他处的疾病引起的眩晕综合征	H82*	{"dummy_term": ["分类", "于", "他", "处", "的", "疾病", "引起", "的", "综合征"], "3_disease_term": ["眩晕"]}
经表皮排除疾患其他的	L87.800	{"dummy_term": ["经", "表皮", "排除", "疾患", "其他", "的"]}
先天性泌尿道梗阻	Q62.300x903	{"dummy_term": ["先天性", "泌尿道"], "3_disease_term": ["梗阻"]}
婴儿的骨软化性佝偻病	E55.000x004	{"1_region_term": ["骨"], "dummy_term": ["婴儿", "的", "软化", "性", "佝偻病"]}
开放性胸后壁损伤	S21.201	{"1_region_term": ["胸"], "dummy_term": ["后", "壁"], "3_disease_term": ["开放性", "损伤"]}
创伤后足舟骨坏死	M87.200x073	{"1_region_term": ["足"], "dummy_term": ["创伤", "后", "舟", "骨坏死"]}
在操作中对意外遗留异物的急性反应	T81.600	{"dummy_term": ["在", "对", "意外", "遗留", "的", "急性", "反应"], "5_others_term": ["操作", "中", "异物"]}
输卵管伞部妊娠	O00.110	{"1_region_term": ["输卵管"], "dummy_term": ["伞", "部", "妊娠"]}
结肠系膜恶性肿瘤	C48.102	{"1_region_term": ["肠系膜"], "dummy_term": ["结", "恶性肿瘤"]}
前臂的多处浅表损伤	S50.700	{"1_region_term": ["前臂"], "dummy_term": ["的", "多处", "浅表"], "3_disease_term": ["损伤"]}
外侧半月板前角损伤	M23.304	{"1_region_term": ["外侧半月板"], "dummy_term": ["前", "角"], "3_disease_term": ["损伤"]}
先天性幽门闭锁	Q40.002	{"1_region_term": ["幽门"], "dummy_term": ["先天性"], "3_disease_term": ["闭锁"]}
先天性心包缺损	Q24.808	{"1_region_term": ["心包"], "dummy_term": ["先天性"], "3_disease_term": ["缺损"]}
妊娠期宫腔感染	O23.500x001	{"1_region_term": ["宫腔"], "dummy_term": ["妊娠期", "感染"]}
伤寒并发肠出血	A01.000x010	{"1_region_term": ["肠"], "dummy_term": ["伤寒", "并发", "出", "血"]}
坏疽性紫癜	D65.x00x003	{"dummy_term": ["坏疽", "性", "紫癜"]}
腹膜术后	Z98.800x114	{"1_region_term": ["腹膜"], "3_disease_term": ["术后"]}
迪宾约翰逊综合征DubinJohnson综合征	E80.600x002	{"dummy_term": ["迪", "宾", "约翰逊", "综合征", "DubinJohnson", "综合征"]}
血管内支气管肺泡瘤	M91331/3	{"1_region_term": ["血管内", "支气管"], "dummy_term": ["肺泡"], "3_disease_term": ["瘤"]}
髌骨袖套状骨折	S82.000x004	{"1_region_term": ["髌骨"], "dummy_term": ["袖套", "状"], "3_disease_term": ["骨折"]}
晚期人工流产	O04.902	{"dummy_term": ["晚期"], "5_others_term": ["人工流产"]}
侵袭性NK细胞白血病	C91.703	{"dummy_term": ["侵袭", "性", "NK", "细胞", "白血病"]}
面部黑素细胞痣	D22.301	{"1_region_term": ["面部"], "dummy_term": ["黑素细胞", "痣"]}
器质性躁狂障碍	F06.300x002	{"dummy_term": ["器质性", "躁狂", "障碍"]}
大网膜妊娠	O00.001	{"1_region_term": ["大网膜"], "dummy_term": ["妊娠"]}
前臂挫伤	S50.101	{"1_region_term": ["前臂"], "dummy_term": ["挫伤"]}
开放性喉软骨断裂	S12.811	{"1_region_term": ["喉软骨"], "dummy_term": ["断裂"], "3_disease_term": ["开放性"]}
疖肿病	L02.900x003	{"dummy_term": ["疖", "肿", "病"]}
恶性肿瘤术后靶向治疗	Z51.807	{"dummy_term": ["恶性肿瘤", "靶向"], "2_operation_term": ["治疗"], "3_disease_term": ["术后"]}
过度打击膝	M70.503	{"1_region_term": ["膝"], "dummy_term": ["过度", "打击"]}
粪便潴留	K59.002	{"dummy_term": ["潴留"], "5_others_term": ["粪便"]}
纵隔继发性恶性肿瘤	C78.100	{"1_region_term": ["纵隔"], "dummy_term": ["继发性", "恶性肿瘤"]}
肺干酪性结核细胞学组织学阴性	A16.035	{"1_region_term": ["肺"], "dummy_term": ["干酪", "性", "结核", "细胞学", "组织学", "阴性"]}
眼蝇蛆病	B87.200	{"1_region_term": ["眼"], "dummy_term": ["蝇蛆", "病"]}
心脏起搏器导线突出	T82.101	{"dummy_term": ["心脏起搏器", "突出"], "5_others_term": ["导线"]}
为抗其他多种传染病采取必要的联合免疫	Z27.800	{"dummy_term": ["为", "抗", "其他", "多种", "传染病", "采取", "必要", "的", "免疫"], "5_others_term": ["联合"]}
阴道溃疡	N76.500	{"1_region_term": ["阴道"], "dummy_term": ["溃疡"]}
孕9次	O26.900x610	{"dummy_term": ["孕", "9次"]}
硬化性胆管炎	K83.012	{"dummy_term": ["硬化性", "胆管炎"]}
男性盆腔脓肿	K65.013	{"1_region_term": ["男性盆腔"], "3_disease_term": ["脓肿"]}
下肢损伤的后遗症	T93.900	{"1_region_term": ["下肢"], "dummy_term": ["的", "后遗症"], "3_disease_term": ["损伤"]}
气管恶性肿瘤	C33.x00	{"1_region_term": ["气管"], "dummy_term": ["恶性肿瘤"]}
阴道外阴恶性肿瘤	C57.803	{"1_region_term": ["阴道", "外阴"], "dummy_term": ["恶性肿瘤"]}
预防性手术	Z40.900	{"dummy_term": ["预防性"], "2_operation_term": ["手术"]}
下肢皮肤缺损	Z89.800x003	{"1_region_term": ["下肢", "皮肤"], "3_disease_term": ["缺损"]}
急性红细胞增多症伴缓解	C94.000x013	{"dummy_term": ["急性", "红细胞", "增多", "症", "伴", "缓解"]}
空鼻综合征	J95.803	{"1_region_term": ["鼻"], "dummy_term": ["空", "综合征"]}
皮瓣舒平状态	Z94.500x006	{"1_region_term": ["皮瓣"], "dummy_term": ["舒", "平", "状态"]}
心脏压塞	I31.901	{"1_region_term": ["心脏"], "dummy_term": ["压", "塞"]}
先天性回肠闭锁	Q41.203	{"1_region_term": ["回肠"], "dummy_term": ["先天性"], "3_disease_term": ["闭锁"]}
脊髓电子神经刺激器引起的机械性并发症	T85.100x004	{"1_region_term": ["脊髓", "神经"], "dummy_term": ["电子", "刺激器", "引起", "的", "机械性", "并发症"]}
黄曲霉毒素中毒	T64.x00x001	{"dummy_term": ["黄曲霉", "毒素", "中毒"]}
睑板腺恶性肿瘤	C44.102	{"1_region_term": ["睑板腺"], "dummy_term": ["恶性肿瘤"]}
颊瘢痕	L90.500x015	{"dummy_term": ["颊"], "3_disease_term": ["瘢痕"]}
糖耐量受损伴周围血管病	E16.800x011	{"1_region_term": ["周围血管"], "dummy_term": ["糖耐量", "受损", "伴", "病"]}
变形杆菌肠炎	A04.801	{"dummy_term": ["变形杆菌", "肠炎"]}
施虐症	F65.500x001	{"dummy_term": ["施虐", "症"]}
肝动静脉瘘	I77.000x017	{"1_region_term": ["肝", "动静脉瘘"]}
骨炎	M86.921	{"dummy_term": ["骨炎"]}
后天性喉瘘	J38.701	{"1_region_term": ["喉"], "dummy_term": ["后天性"], "3_disease_term": ["瘘"]}
直肠多处损伤	S36.600x003	{"1_region_term": ["直肠"], "dummy_term": ["多处"], "3_disease_term": ["损伤"]}
屈光疾患	H52.700	{"dummy_term": ["屈光", "疾患"]}
与暴露于战争有关的问题	Z65.500x003	{"dummy_term": ["与", "暴露", "于", "战争", "有关", "的", "问题"]}
肌肉其他特指的疾患	M62.800	{"1_region_term": ["肌肉"], "dummy_term": ["其他", "特指", "的", "疾患"]}
在髋和大腿水平的坐骨神经损伤	S74.000	{"1_region_term": ["髋", "大腿", "坐骨神经"], "dummy_term": ["在", "和", "水平", "的"], "3_disease_term": ["损伤"]}
上肢动脉栓塞	I74.201	{"1_region_term": ["上肢动脉"], "dummy_term": ["栓塞"]}
髋和下肢二度烧伤	T24.200x001	{"1_region_term": ["髋", "下肢"], "dummy_term": ["和", "二度", "烧伤"]}
胎儿和新生儿受子宫收缩异常的影响	P03.600	{"1_region_term": ["子宫"], "dummy_term": ["和", "新生儿", "受", "收缩", "异常", "的", "影响"], "5_others_term": ["胎儿"]}
肩和上臂肌腱损伤	S46.900x002	{"1_region_term": ["肩", "上臂", "肌腱"], "dummy_term": ["和"], "3_disease_term": ["损伤"]}
眼伴颈二度烧伤	T20.200x011	{"1_region_term": ["眼", "颈"], "dummy_term": ["伴", "二度", "烧伤"]}
移位耳	Q17.400	{"1_region_term": ["耳"], "3_disease_term": ["移位"]}
髋部肌腱端病	M76.801	{"1_region_term": ["肌腱"], "dummy_term": ["髋部", "端", "病"]}
身体浅表昆虫咬伤	T14.000x031	{"dummy_term": ["浅表", "昆虫", "咬伤"], "5_others_term": ["身体"]}
附件肿物	N83.900x003	{"dummy_term": ["附件", "肿物"]}
子宫颈及阴道恶性肿瘤	C57.800x004	{"1_region_term": ["子宫颈", "阴道"], "dummy_term": ["及", "恶性肿瘤"]}
肝管息肉	K76.815	{"1_region_term": ["肝管"], "3_disease_term": ["息肉"]}
回肠造口术或其他肠道用具的安装和调整	Z46.500	{"1_region_term": ["回肠"], "dummy_term": ["或", "其他", "肠道", "用具", "的", "和", "调整"], "2_operation_term": ["造口术", "安装"]}
表面扩散性腺癌	M81430/3	{"dummy_term": ["表面", "扩散性", "腺癌"]}
舌下腺及下颌下腺恶性肿瘤	C08.800x001	{"1_region_term": ["舌下腺", "下颌下腺"], "dummy_term": ["及", "恶性肿瘤"]}
散发性包涵体肌炎	G72.403	{"1_region_term": ["肌"], "dummy_term": ["散发性", "包涵", "体", "炎"]}
跗骨韧带扭伤	S93.600x001	{"1_region_term": ["跗骨", "韧带"], "dummy_term": ["扭伤"]}
幼年型第五跖骨骨软骨病	M92.702	{"1_region_term": ["跖骨", "骨"], "dummy_term": ["幼年", "型", "第五", "软骨病"]}
踝和足多处肌肉和肌腱损伤	S96.700x001	{"1_region_term": ["踝", "足", "肌肉", "肌腱"], "dummy_term": ["和", "多处", "和"], "3_disease_term": ["损伤"]}
下腔静脉支架脱落	T82.501	{"1_region_term": ["下腔静脉"], "dummy_term": ["脱落"], "4_implant_term": ["支架"]}
辐射引起的慢性和其他肺部临床表现	J70.100	{"dummy_term": ["辐射", "引起", "的", "慢性", "和", "其他", "肺部", "临床表现"]}
上肢深静脉血栓形成	I82.805	{"1_region_term": ["上肢"], "dummy_term": ["深", "静脉血", "栓", "形成"]}
卡波西肉瘤	C46.900	{"dummy_term": ["卡", "波西", "肉瘤"]}
烟雾中毒	T59.101	{"dummy_term": ["烟雾", "中毒"]}
盆骨良性肿瘤	D16.801	{"1_region_term": ["骨"], "dummy_term": ["盆", "良性肿瘤"]}
泪腺良性肿瘤	D31.501	{"1_region_term": ["泪腺"], "dummy_term": ["良性肿瘤"]}
梭形细胞癌	M80320/3	{"dummy_term": ["梭", "形", "细胞", "癌"]}
急性肾小管间质肾炎	N10.x00	{"dummy_term": ["急性", "肾小管", "间质", "肾炎"]}
躯体虐待综合征	T74.100x004	{"dummy_term": ["躯体虐待", "综合征"]}
胃麻痹	K31.809	{"1_region_term": ["胃"], "dummy_term": ["麻痹"]}
手术后盲肠瘘	K63.206	{"1_region_term": ["盲肠"], "5_others_term": ["手术后"], "3_disease_term": ["瘘"]}
过度打击肘	M70.301	{"1_region_term": ["肘"], "dummy_term": ["过度", "打击"]}
扁桃体窝良性肿瘤	D10.501	{"1_region_term": ["扁桃体"], "dummy_term": ["窝", "良性肿瘤"]}
肾小球肾炎	N05.900x002	{"dummy_term": ["肾小球", "肾炎"]}
氨基酸代谢病	E72.900x006	{"dummy_term": ["氨基酸", "代谢", "病"]}
儿童期脑萎缩	G31.900x003	{"dummy_term": ["脑萎缩"], "5_others_term": ["儿童期"]}
手指挤压伤	S67.001	{"1_region_term": ["手指"], "dummy_term": ["挤压", "伤"]}
无名静脉狭窄	I87.103	{"1_region_term": ["静脉"], "dummy_term": ["无名"], "3_disease_term": ["狭窄"]}
在保健机构中陪伴病人的健康人	Z76.300	{"dummy_term": ["在", "保健", "机构", "陪伴", "病人", "的", "健康人"], "5_others_term": ["中"]}
胎儿轻度肾盂积水	O35.800x010	{"1_region_term": ["肾盂"], "dummy_term": ["轻度", "积水"], "5_others_term": ["胎儿"]}
废用性弱视	H53.000x001	{"dummy_term": ["废", "用", "性", "弱视"]}
肾挛缩	N26.x00	{"1_region_term": ["肾", "挛缩"]}
硬膜下出血急性非创伤性	I62.000	{"dummy_term": ["硬", "膜", "下", "出", "血", "急性", "非", "创伤性"]}
胃肠道过敏症	K52.200x004	{"dummy_term": ["胃肠道", "过敏症"]}
小汽车乘员在小汽车与火车或铁路车辆碰撞中的损伤	V45.x00	{"dummy_term": ["小汽车", "乘员", "在", "小汽车", "与", "火车", "或", "铁路车辆", "碰撞", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
先天性主动脉瓣下狭窄	Q24.400x001	{"1_region_term": ["主动脉瓣"], "dummy_term": ["先天性", "下"], "3_disease_term": ["狭窄"]}
上肢开放性损伤后遗症	T92.000x001	{"1_region_term": ["上肢"], "dummy_term": ["后遗症"], "3_disease_term": ["开放性", "损伤"]}
巨细胞肉瘤除外骨M92503	M88020/3	{"1_region_term": ["骨"], "dummy_term": ["巨细胞", "肉瘤", "除外", "M92503"]}
与缺乏身体锻炼有关的医疗咨询	Z72.300	{"dummy_term": ["与", "缺乏", "锻炼", "有关", "的", "医疗"], "5_others_term": ["身体", "咨询"]}
嵌顿性腹股沟疝	K40.312	{"1_region_term": ["腹股沟"], "dummy_term": ["嵌", "顿", "性"], "3_disease_term": ["疝"]}
掌骨骨折	S62.301	{"1_region_term": ["掌骨"], "3_disease_term": ["骨折"]}
屏气	R06.801	{"dummy_term": ["屏气"]}
膀胱粘膜炎	N30.100x002	{"1_region_term": ["膀胱"], "dummy_term": ["粘膜炎"]}
伴海马硬化颞叶内侧癫痫	G40.202	{"1_region_term": ["颞叶"], "dummy_term": ["伴", "硬化", "内侧", "癫痫"], "2_operation_term": ["海马"]}
肌肉变性	M62.809	{"1_region_term": ["肌肉"], "dummy_term": ["变性"]}
线粒体脑肌病伴高乳酸血症和卒中样发作	G71.300x001	{"1_region_term": ["脑", "肌"], "dummy_term": ["线粒体", "病", "伴", "高", "乳酸", "血症", "和", "卒", "样", "发作"], "5_others_term": ["中"]}
皮肤松弛	L57.402	{"1_region_term": ["皮肤"], "3_disease_term": ["松弛"]}
转移性胆管癌	M81600/6	{"dummy_term": ["转移性", "胆管癌"]}
梭形细胞痣	M87720/0	{"dummy_term": ["梭", "形", "细胞", "痣"]}
先天性尺桡关节融合	Q74.005	{"1_region_term": ["尺桡关节"], "dummy_term": ["先天性"], "2_operation_term": ["融合"]}
旋前圆肌综合征	G56.100x004	{"1_region_term": ["肌"], "dummy_term": ["旋", "前", "圆", "综合征"]}
出血性外痔	I84.401	{"dummy_term": ["外痔"], "3_disease_term": ["出血性"]}
斜坡交界性肿瘤	D43.200x005	{"1_region_term": ["斜坡"], "dummy_term": ["交界", "性", "肿瘤"]}
天蓝甲半月	L60.800x020	{"1_region_term": ["甲"], "dummy_term": ["天蓝", "半月"]}
视网膜粥样栓塞侯兰荷思特斑	H34.200x004	{"1_region_term": ["视网膜"], "dummy_term": ["粥样", "栓塞", "侯", "兰", "荷", "思", "特", "斑"]}
掌骨头骨折	S62.300x041	{"1_region_term": ["掌骨"], "dummy_term": ["头骨", "折"]}
遗传性血管神经性水肿	D84.100x002	{"1_region_term": ["血管", "神经性"], "dummy_term": ["遗传性"], "3_disease_term": ["水肿"]}
乳痂	L21.001	{"dummy_term": ["乳", "痂"]}
润滑药缓和剂和保护药的有害效应	Y56.300	{"dummy_term": ["润滑", "药", "缓和剂", "和", "保护", "药", "的", "有害", "效应"]}
左室扩大	I51.700x014	{"dummy_term": ["左", "室"], "3_disease_term": ["扩大"]}
瞬间死亡	R96.000	{"dummy_term": ["瞬间", "死亡"]}
新生儿结肠炎	P78.300x005	{"dummy_term": ["新生儿", "结肠炎"]}
类白血病样反应	D72.800x007	{"dummy_term": ["类", "白血病", "样", "反应"]}
后天性额部缺损	Z90.000x017	{"1_region_term": ["额部"], "dummy_term": ["后天性"], "3_disease_term": ["缺损"]}
胫动脉假性动脉瘤	I72.400x220	{"1_region_term": ["胫动脉"], "dummy_term": ["假性"], "3_disease_term": ["动脉瘤"]}
直肠周围周围神经和自主神经恶性肿瘤	C47.500x009	{"1_region_term": ["直肠周围", "周围神经"], "dummy_term": ["和", "自主神经", "恶性肿瘤"]}
开放性骶骨骨折	S32.110	{"1_region_term": ["骶骨"], "3_disease_term": ["开放性", "骨折"]}
马尾神经囊虫病	B69.000x002+G94.8*	{"1_region_term": ["马尾神经"], "dummy_term": ["囊虫", "病"]}
胫骨结节骨折	S82.100x089	{"1_region_term": ["胫骨结节"], "3_disease_term": ["骨折"]}
肌强直性疾患	G71.100	{"1_region_term": ["肌"], "dummy_term": ["强直性", "疾患"]}
弓形腿	M21.101	{"dummy_term": ["弓形", "腿"]}
指甲烧伤	T23.000x007	{"dummy_term": ["指甲", "烧伤"]}
交通事故中专用建筑车辆外部人员的损伤	V85.200	{"dummy_term": ["交通事故", "中专", "用", "建筑", "车辆", "外部", "人员", "的"], "3_disease_term": ["损伤"]}
同步性视觉感受不伴融合	H53.300x003	{"dummy_term": ["同步性", "视觉", "感受", "不", "伴"], "2_operation_term": ["融合"]}
感觉性周围神经病	G60.802	{"1_region_term": ["周围神经"], "dummy_term": ["感觉", "性", "病"]}
梨状肌综合征	G57.001	{"1_region_term": ["肌"], "dummy_term": ["梨", "状", "综合征"]}
变形杆菌性脑膜炎	G00.801	{"dummy_term": ["变形杆菌", "性", "脑膜炎"]}
出血性直肠炎	K62.800x001	{"dummy_term": ["直肠炎"], "3_disease_term": ["出血性"]}
左心发育不全综合征	Q23.400	{"1_region_term": ["左心"], "dummy_term": ["发育不全", "综合征"]}
咽鼓管恶性肿瘤	C30.101	{"1_region_term": ["咽鼓管"], "dummy_term": ["恶性肿瘤"]}
肱骨远端骨折	S42.400x001	{"1_region_term": ["肱骨"], "dummy_term": ["远端"], "3_disease_term": ["骨折"]}
胸主动脉瘤未提及破裂	I71.200	{"1_region_term": ["胸主动脉"], "dummy_term": ["未", "提及"], "3_disease_term": ["瘤", "破裂"]}
胫后综合征	M76.805	{"dummy_term": ["胫", "后", "综合征"]}
性心理发育障碍其他的	F66.800	{"dummy_term": ["性心理", "发育", "障碍", "其他", "的"]}
趾周围皮病	L30.800x015	{"1_region_term": ["趾", "皮"], "dummy_term": ["病"], "5_others_term": ["周围"]}
上唇内面颊侧面恶性肿瘤	C00.301	{"dummy_term": ["上唇", "内", "面颊", "侧面", "恶性肿瘤"]}
骑摩托车人员在摩托车与火车或铁路车辆碰撞中的损伤	V25.x00	{"dummy_term": ["骑", "摩托车", "人员", "在", "摩托车", "与", "火车", "或", "铁路车辆", "碰撞", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
胎儿损害由于子宫内避孕器妊娠	O35.701	{"dummy_term": ["损害", "由于", "子", "妊娠"], "5_others_term": ["胎儿", "宫内避孕器"]}
后纵隔良性肿瘤	D15.200x001	{"1_region_term": ["纵隔"], "dummy_term": ["后", "良性肿瘤"]}
蚕蚀性角膜溃疡	H16.003	{"1_region_term": ["角膜"], "dummy_term": ["蚕", "蚀", "性", "溃疡"]}
慢性外阴阴道炎	N76.100x001	{"1_region_term": ["外阴"], "dummy_term": ["慢性", "阴道炎"]}
镁代谢紊乱	E83.400	{"dummy_term": ["镁", "代谢", "紊乱"]}
弗雷德里克森高脂蛋白血症V型	E78.300x003	{"dummy_term": ["弗雷德里克", "森", "高", "脂蛋白", "血症"], "5_others_term": ["V型"]}
扁桃体结核细菌学阳性	A15.809	{"1_region_term": ["扁桃体"], "dummy_term": ["结核", "细菌学", "阳性"]}
眼球肿物	H44.901	{"1_region_term": ["眼球"], "dummy_term": ["肿物"]}
手术后甲状腺瘘	E07.805	{"1_region_term": ["甲状腺"], "5_others_term": ["手术后"], "3_disease_term": ["瘘"]}
听骨其他后天性异常	H74.300	{"1_region_term": ["听骨"], "dummy_term": ["其他", "后天性", "异常"]}
角膜良性肿瘤	D31.100	{"1_region_term": ["角膜"], "dummy_term": ["良性肿瘤"]}
1型糖尿病性低血糖性癫痫发作	E10.600x042	{"dummy_term": ["1", "型", "糖尿病", "性", "低血糖", "性", "癫痫", "发作"]}
尺骨远端骨骺分离	S52.800x002	{"1_region_term": ["尺骨", "骨骺"], "dummy_term": ["远端"], "3_disease_term": ["分离"]}
胆道感染所致精神障碍	F06.800x002	{"1_region_term": ["胆道"], "dummy_term": ["感染", "所致", "精神障碍"]}
精索良性肿瘤	D29.702	{"1_region_term": ["精索"], "dummy_term": ["良性肿瘤"]}
脂肪母细胞瘤病	M88810/0	{"1_region_term": ["脂肪"], "dummy_term": ["母细胞", "病"], "3_disease_term": ["瘤"]}
妊娠合并子宫脱垂	O34.502	{"1_region_term": ["子宫"], "dummy_term": ["妊娠", "合", "并"], "3_disease_term": ["脱垂"]}
胁腹一度烧伤	T21.100x032	{"dummy_term": ["胁腹", "一度", "烧伤"]}
急性光化性外耳炎	H60.502	{"dummy_term": ["急性", "光化", "性", "外", "耳炎"]}
骶前子宫内膜异位症	N80.808	{"1_region_term": ["骶前", "子宫内膜"], "3_disease_term": ["异位症"]}
类风湿性血管炎	M05.200x092	{"dummy_term": ["类风湿性", "血管炎"]}
短暂性新生儿血小板减少	P61.000	{"dummy_term": ["短暂性", "新生儿", "减少"], "5_others_term": ["血小板"]}
腰骶神经损伤	S34.800x001	{"1_region_term": ["腰骶", "神经"], "3_disease_term": ["损伤"]}
全面性强直阵挛性癫痫持续状态	G41.001	{"dummy_term": ["强直", "阵挛性", "癫痫", "持续", "状态"], "5_others_term": ["全面性"]}
成人手术后吸收障碍性骨软化症	M83.200x092	{"1_region_term": ["骨"], "dummy_term": ["成", "人", "吸收", "障碍性", "软化", "症"], "5_others_term": ["手术后"]}
黏液样脂肪肉瘤	M88520/3	{"1_region_term": ["脂肪"], "dummy_term": ["黏液", "样", "肉瘤"]}
复发性和持续性血尿伴有轻微的肾小球异常	N02.000	{"dummy_term": ["和", "持续性", "血尿", "伴有", "轻微", "的", "肾小球", "异常"], "5_others_term": ["复发性"]}
糖尿病性增殖性前期局部缺血性视网膜病	E14.300x025+H36.0*	{"1_region_term": ["视网膜"], "dummy_term": ["糖尿病", "性", "增殖性", "前期", "局部", "缺血性", "病"]}
2型糖尿病性神经炎	E11.403+G63.2*	{"dummy_term": ["2", "型", "糖尿病", "性", "神经炎"]}
蝶窦肉芽肿	J32.302	{"1_region_term": ["蝶窦"], "3_disease_term": ["肉芽肿"]}
肾造口术状态	Z93.601	{"1_region_term": ["肾"], "dummy_term": ["状态"], "2_operation_term": ["造口术"]}
颌下淋巴结结核	A18.200x002	{"1_region_term": ["颌下淋巴结"], "dummy_term": ["结核"]}
仅根据涉及体表范围分类的烧伤和腐蚀伤后遗症	T95.400	{"dummy_term": ["仅", "根据", "涉及", "体表", "范围", "分类", "的", "烧伤", "和", "腐蚀", "伤", "后遗症"]}
盆腔周围神经和自主神经交界性肿瘤	D48.200x046	{"1_region_term": ["盆腔", "周围神经"], "dummy_term": ["和", "自主神经", "交界", "性", "肿瘤"]}
免疫球蛋白中毒	T50.900x004	{"dummy_term": ["免疫", "球蛋白", "中毒"]}
皮肤隐球菌病	B45.200	{"1_region_term": ["皮肤"], "dummy_term": ["隐", "球菌", "病"]}
颈静脉曲张	I86.806	{"1_region_term": ["颈静脉"], "dummy_term": ["曲张"]}
髂静脉损伤	S35.500x004	{"1_region_term": ["髂静脉"], "3_disease_term": ["损伤"]}
腘动脉粥样硬化	I70.200x063	{"1_region_term": ["腘动脉"], "dummy_term": ["粥样", "硬化"]}
磷化锌中毒	T57.100x004	{"dummy_term": ["磷化锌", "中毒"]}
过敏性鱼食肺	J67.800x001	{"1_region_term": ["肺"], "dummy_term": ["过敏性", "鱼食"]}
外阴腐蚀伤	T21.400x057	{"1_region_term": ["外阴"], "dummy_term": ["腐蚀", "伤"]}
肝炎后高胆红素血症	E80.600x007	{"dummy_term": ["肝炎", "后", "高", "胆红素", "血症"]}
接触螨病病虫侵染	Z20.702	{"dummy_term": ["接触", "螨", "病", "病虫", "侵染"]}
操作中气胸	T81.200x021	{"dummy_term": ["气胸"], "5_others_term": ["操作", "中"]}
躯干浅表冻伤	T33.900x003	{"1_region_term": ["躯干"], "dummy_term": ["浅表", "冻伤"]}
幼淋巴细胞白血病B细胞型	C91.301	{"dummy_term": ["幼", "淋巴细胞", "白血病", "B", "细胞", "型"]}
腹主动脉粥样硬化	I70.002	{"1_region_term": ["腹主动脉"], "dummy_term": ["粥样", "硬化"]}
心功能Ⅳ级	I50.905	{"dummy_term": ["心功能", "Ⅳ", "级"]}
伴有精神病性症状的重度抑郁发作	F32.300	{"dummy_term": ["伴有", "精神病", "性", "症状", "的", "重度", "抑郁", "发作"]}
须疮	L73.804	{"dummy_term": ["须疮"]}
黑热病后皮肤利什曼病	B55.000x003	{"1_region_term": ["皮肤"], "dummy_term": ["黑热病", "后", "利", "什", "曼", "病"]}
先天性角膜畸形其他的	Q13.400	{"1_region_term": ["角膜"], "dummy_term": ["先天性", "其他", "的"], "3_disease_term": ["畸形"]}
开放性颅内海绵窦损伤	S06.912	{"1_region_term": ["颅内", "海绵窦"], "3_disease_term": ["开放性", "损伤"]}
变应性接触性唇炎	K13.000x017	{"dummy_term": ["变应性", "接触性", "唇炎"]}
芽生菌病	B40.900	{"dummy_term": ["芽", "生", "菌", "病"]}
手术后伤口脂肪液化	T81.812	{"1_region_term": ["脂肪"], "dummy_term": ["液化"], "5_others_term": ["手术后"], "3_disease_term": ["伤口"]}
原发性系统性淀粉样变性	D47.700x006	{"dummy_term": ["原发性", "系统性", "淀粉样变", "性"]}
贲门息肉	K22.800x011	{"1_region_term": ["贲门"], "3_disease_term": ["息肉"]}
脑软化灶	R90.804	{"1_region_term": ["脑"], "dummy_term": ["软化", "灶"]}
肾盂恶性肿瘤	C65.x00	{"1_region_term": ["肾盂"], "dummy_term": ["恶性肿瘤"]}
过氧化氢酶和过氧化物酶缺陷	E80.300	{"dummy_term": ["过氧化氢", "酶", "和", "过氧化物", "酶", "缺陷"]}
椎间盘移位其他特指的	M51.200	{"1_region_term": ["椎间盘"], "dummy_term": ["其他", "特指", "的"], "3_disease_term": ["移位"]}
腹部挤压伤	S38.100x002	{"1_region_term": ["腹部"], "dummy_term": ["挤压", "伤"]}
妊娠合并白血病	O99.809	{"dummy_term": ["妊娠", "合", "并", "白血病"]}
