链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
中耳和乳突未特指的疾患	H74.9	{"1_region_term": ["中耳", "乳突"], "dummy_term": ["和", "未", "特指", "的", "疾患"]}
肺嗜酸性粒细胞增多，不可归类在他处者	J82.x00	{"1_region_term": ["肺"], "dummy_term": ["嗜", "酸性", "粒细胞", "增多", ",", "不可", "归类", "在", "他", "处", "者"]}
与教育和文化素养有关的问题	Z55	{"dummy_term": ["与", "和", "文化", "素养", "有关", "的", "问题"], "5_others_term": ["教育"]}
咽下部恶性肿瘤	C13	{"dummy_term": ["咽下", "部", "恶性肿瘤"]}
创伤性骨盆切断	S38.303	{"1_region_term": ["骨盆"], "dummy_term": ["创伤性"], "5_others_term": ["切断"]}
骨折治疗后恢复期	Z54.400	{"dummy_term": ["后", "恢复期"], "2_operation_term": ["治疗"], "3_disease_term": ["骨折"]}
头皮糠疹	L21.002	{"1_region_term": ["头皮"], "dummy_term": ["糠疹"]}
其他非创伤性颅内出血	I62	{"dummy_term": ["其他", "非", "创伤性", "颅", "内出血"]}
回盲部憩室	K57.102	{"1_region_term": ["回盲"], "dummy_term": ["部", "憩", "室"]}
大脑静脉血栓形成引起的脑梗死，非生脓性	I63.600	{"1_region_term": ["大脑"], "dummy_term": ["静脉血", "栓", "形成", "引起", "的", "脑梗死", ",", "非", "生脓", "性"]}
强直性脊柱炎	M45.x00	{"3_disease_term": ["强直性脊柱炎"]}
未特指的原虫性肠道疾病	A07.9	{"dummy_term": ["未", "特指", "的", "原虫", "性", "肠道", "疾病"]}
α肾上腺素能受体拮抗剂中毒,不可归类在他处者	T44.6	{"dummy_term": ["α", "肾上腺素", "能", "受体", "拮抗剂", "中毒", "不可", "归类", "在", "他", "处", "者"]}
丘疹鳞屑性疾患	L44.900	{"dummy_term": ["丘疹", "鳞屑", "性", "疾患"]}
被物体钩住、挤压、轧住或夹住	W23.x00	{"dummy_term": ["被", "物体", "钩住", ",", "挤压", ",", "轧", "住", "或", "夹住"]}
嵌顿性腹股沟疝伴梗阻	K40.313	{"1_region_term": ["腹股沟"], "dummy_term": ["嵌", "顿", "性", "伴"], "3_disease_term": ["疝", "梗阻"]}
大疱性表皮松解症，其他的	Q81.800	{"dummy_term": ["疱", "性", "表皮", "松解", "症", ",", "其他", "的"], "5_others_term": ["大"]}
硬腭和软腭裂伴双侧唇裂	Q37.4	{"1_region_term": ["硬腭"], "dummy_term": ["和", "软", "腭裂", "伴", "唇裂"], "5_others_term": ["双侧"]}
螨性皮炎	B88.001†L99.8*	{"dummy_term": ["螨", "性皮炎"]}
与性态度、性行为和性取向有关的咨询	Z70	{"dummy_term": ["与", "性", "态度", ",", "性行为", "和", "性取向", "有关", "的"], "5_others_term": ["咨询"]}
未特指的周围神经系统的产伤	P14.9	{"1_region_term": ["周围神经"], "dummy_term": ["未", "特指", "的", "系统", "的", "产", "伤"]}
银屑病性和肠病性关节病	M07*	{"1_region_term": ["肠"], "dummy_term": ["银屑病", "性", "和", "病", "性", "关节病"]}
慢性消化性溃疡伴有穿孔	K27.500	{"dummy_term": ["慢性", "消化性", "溃疡", "伴有"], "3_disease_term": ["穿孔"]}
钩虫病，其他的	B76.800	{"dummy_term": ["钩虫病", ",", "其他", "的"]}
内耳良性肿瘤	D14.008	{"1_region_term": ["内耳"], "dummy_term": ["良性肿瘤"]}
未特指的胎膜早破	O42.9	{"dummy_term": ["未", "特指", "的", "胎膜", "早", "破"]}
尿道损伤伴狭窄	S37.303	{"1_region_term": ["尿道"], "dummy_term": ["伴"], "3_disease_term": ["损伤", "狭窄"]}
原发性卵巢功能衰竭	E28.300	{"dummy_term": ["原发性", "卵巢功能", "衰竭"]}
开放性前臂损伤	S51.901	{"1_region_term": ["前臂"], "3_disease_term": ["开放性", "损伤"]}
皮质醇结合球蛋白异常	E27.806	{"dummy_term": ["皮质醇", "结合", "球蛋白", "异常"]}
左室肥大	I51.701	{"dummy_term": ["左", "室", "肥大"]}
血清性药疹	T80.604	{"dummy_term": ["血清", "性", "药疹"]}
Q热	A78.x00	{"dummy_term": ["Q", "热"]}
大腿肌肉挛缩	M62.406	{"1_region_term": ["大腿", "肌肉", "挛缩"]}
上肢皮肤肿瘤	D48.515	{"1_region_term": ["上肢", "皮肤"], "dummy_term": ["肿瘤"]}
尚贝格色素皮肤病	L81.703	{"dummy_term": ["尚", "贝格", "色素", "皮肤病"]}
玻璃体混浊，其他的	H43.300	{"1_region_term": ["玻璃体"], "dummy_term": ["混浊", ",", "其他", "的"]}
妊娠期间麻醉的心脏并发症	O29.100	{"1_region_term": ["心脏"], "dummy_term": ["妊娠", "期间", "麻醉", "的", "并发症"]}
牙齿及支持结构的其他疾患	K08	{"1_region_term": ["牙齿"], "dummy_term": ["及", "支持", "结构", "的", "其他", "疾患"]}
维生素类中毒,不可归类在他处者	T45.2	{"dummy_term": ["维生素", "类", "中毒", "不可", "归类", "在", "他", "处", "者"]}
周围血管系统未特指的先天性畸形	Q27.9	{"1_region_term": ["周围血管"], "dummy_term": ["系统", "未", "特指", "的", "先天性"], "3_disease_term": ["畸形"]}
陈旧性眼睑损伤	T90.101	{"1_region_term": ["眼睑"], "dummy_term": ["陈旧性"], "3_disease_term": ["损伤"]}
未特指的小汽车乘员在小汽车与行人或牲畜碰撞非交通事故中的损伤	V40.3	{"dummy_term": ["未", "特指", "的", "小汽车", "乘员", "在", "小汽车", "与", "行人", "或", "牲畜", "碰撞", "非", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
陈旧性纵隔结核	B90.904	{"1_region_term": ["纵隔"], "dummy_term": ["陈旧性", "结核"]}
陈旧性踝骨骨折	T93.207	{"1_region_term": ["踝骨"], "dummy_term": ["陈旧性"], "3_disease_term": ["骨折"]}
乙型肝炎大三阳	Z22.503	{"dummy_term": ["乙型肝炎", "大三阳"]}
胸腔感染	J98.902	{"1_region_term": ["胸腔"], "dummy_term": ["感染"]}
二期梅毒性葡萄膜炎	A51.402†H22.0*	{"dummy_term": ["梅毒", "性", "葡萄膜", "炎"], "5_others_term": ["二期"]}
梅毒	A53.900	{"dummy_term": ["梅毒"]}
多个部位腐蚀伤,述及的腐蚀伤不超过二度	T29.6	{"dummy_term": ["多", "个", "部位", "腐蚀", "伤", "述及", "的", "腐蚀", "伤", "不", "超过", "二度"]}
前臂其他部位的挫伤	S50.100	{"1_region_term": ["前臂"], "dummy_term": ["其他", "部位", "的", "挫伤"]}
遗传性肾病,不可归类在他处者,弥漫性膜性肾小球肾炎	N07.2	{"dummy_term": ["遗传性", "肾病", "不可", "归类", "在", "他", "处", "者", "弥漫性", "肾小球", "肾炎"], "3_disease_term": ["膜性"]}
为行政管理目的接受的检查和会面	Z02	{"dummy_term": ["为", "行政", "管理", "目的", "接受", "的", "检查和", "会面"]}
尿道狭窄 	N35.900	{"1_region_term": ["尿道"], "3_disease_term": ["狭窄"]}
眉缺损	L65.901	{"1_region_term": ["眉"], "3_disease_term": ["缺损"]}
剥脱性皮炎	L26.X00	{"dummy_term": ["性皮炎"], "2_operation_term": ["剥脱"]}
解毒剂和螯合剂中毒,不可归类在他处者	T50.6	{"dummy_term": ["解毒剂", "和", "螯合剂", "中毒", "不可", "归类", "在", "他", "处", "者"]}
与有害事件有关的理疗多用途装置，不可归类在他处者	Y80.800	{"dummy_term": ["与", "有害", "事件", "有关", "的", "理疗", "多用途", "装置", ",", "不可", "归类", "在", "他", "处", "者"]}
复发性风湿病	M12.300	{"dummy_term": ["风湿病"], "5_others_term": ["复发性"]}
从树上跌落	W14.x00	{"dummy_term": ["从", "树上", "跌落"]}
同时借助产钳和真空吸引器分娩	O81.500	{"dummy_term": ["同时", "借助", "产钳", "和", "真空", "吸引", "器", "分娩"]}
胸部多处损伤	S29.700	{"1_region_term": ["胸部"], "dummy_term": ["多处"], "3_disease_term": ["损伤"]}
淋巴回流障碍	I89.010	{"1_region_term": ["淋巴"], "dummy_term": ["回流", "障碍"]}
宫颈陈旧性裂伤	N88.100	{"1_region_term": ["宫颈"], "dummy_term": ["陈旧性"], "3_disease_term": ["裂伤"]}
面结缔组织动态未定肿瘤	D48.103	{"1_region_term": ["面"], "dummy_term": ["结缔组织", "动态", "未定", "肿瘤"]}
致幻剂未特指的精神和行为障碍	F16.9	{"dummy_term": ["致幻剂", "未", "特指", "的", "精神", "和", "行为障碍"]}
其他的鞘膜积液	N43.2	{"1_region_term": ["鞘膜"], "dummy_term": ["其他", "的"], "5_others_term": ["积液"]}
脱髓鞘型腓骨肌萎缩	G60.001	{"1_region_term": ["腓骨"], "dummy_term": ["脱髓鞘", "型", "肌萎缩"]}
手骨间关节粘连性滑囊炎	M71.503	{"1_region_term": ["关节", "滑囊"], "dummy_term": ["手骨", "间", "性", "炎"], "3_disease_term": ["粘连"]}
抽动障碍，其他的	F95.800	{"dummy_term": ["抽动", "障碍", ",", "其他", "的"]}
矾土肺(肺的)	J63.000	{"1_region_term": ["肺", "肺"], "dummy_term": ["矾土", "(", "的", ")"]}
酒渣鼻	L71.900	{"dummy_term": ["酒渣鼻"]}
放线菌病	A42.900	{"dummy_term": ["放线菌", "病"]}
由于原因而未进行操作	Z53.900	{"dummy_term": ["由于", "原因", "而", "未", "进行"], "5_others_term": ["操作"]}
涎腺的其他疾病	K11.800	{"dummy_term": ["涎", "腺", "的", "其他", "疾病"]}
增生性膀胱炎	N30.810	{"dummy_term": ["增生", "性", "膀胱炎"]}
骨髓移植状态	Z94.802	{"dummy_term": ["骨髓移植", "状态"]}
其他和未特指的过早除极	I49.4	{"dummy_term": ["其他", "和", "未", "特指", "的", "过早", "除", "极"]}
使用大麻类物质引起的依赖综合征	F12.200	{"dummy_term": ["使用", "大麻类", "物质", "引起", "的", "依赖", "综合征"]}
未特指的红斑性情况	L53.9	{"dummy_term": ["未", "特指", "的", "红斑", "性", "情况"]}
细支气管扩张	J47.x02	{"1_region_term": ["支气管"], "dummy_term": ["细"], "3_disease_term": ["扩张"]}
其他和未特指内部器官的烧伤	T28.4	{"dummy_term": ["其他", "和", "未", "特指", "内部", "器官", "的", "烧伤"]}
外阴溃疡	N76.600	{"1_region_term": ["外阴"], "dummy_term": ["溃疡"]}
急性变应性结膜炎	H10.100	{"dummy_term": ["急性", "变应性", "结膜炎"]}
使用大麻类物质引起的戒断状态伴有谵妄	F12.400	{"dummy_term": ["使用", "大麻类", "物质", "引起", "的", "戒断", "状态", "伴有", "谵妄"]}
增生性脊柱炎	M46.803	{"dummy_term": ["增生", "性", "脊柱炎"]}
筛窦息肉	J33.804	{"1_region_term": ["筛窦"], "3_disease_term": ["息肉"]}
其他立克次体病	A79	{"dummy_term": ["其他", "立克次体", "病"]}
其他坏死性血管病	M31	{"dummy_term": ["其他", "坏死性", "血管病"]}
脂贮积疾患	E75.600	{"dummy_term": ["脂", "贮积", "疾患"]}
后天性房间隔缺损	I51.001	{"dummy_term": ["后天性", "房"], "3_disease_term": ["间隔缺损"]}
气管支气管淋巴结继发恶性肿瘤	C77.105	{"1_region_term": ["气管", "支气管", "淋巴结"], "dummy_term": ["继发", "恶性肿瘤"]}
代谢性疾病引起的心肌病	I43.1*	{"dummy_term": ["代谢性", "疾病", "引起", "的", "心肌病"]}
胃良性肿瘤	D13.100	{"1_region_term": ["胃"], "dummy_term": ["良性肿瘤"]}
二尖瓣退行性变	I34.803	{"1_region_term": ["二尖瓣"], "dummy_term": ["退行性", "变"]}
牙齿萌出过早	K00.603	{"1_region_term": ["牙齿"], "dummy_term": ["萌", "出", "过早"]}
毒血症	R68.801	{"dummy_term": ["毒血症"]}
其他特指的软组织疾患	M79.8	{"1_region_term": ["软组织"], "dummy_term": ["其他", "特指", "的", "疾患"]}
使用烟草引起的遗忘综合征	F17.600	{"dummy_term": ["使用", "烟草", "引起", "的", "遗忘", "综合征"]}
先天性巨细胞病毒感染	P35.100	{"dummy_term": ["先天性", "巨细胞", "病毒感染"]}
肘关节关节病	M19.902	{"1_region_term": ["肘关节"], "dummy_term": ["关节病"]}
额部脑膨出	Q01.000	{"1_region_term": ["额部", "脑"], "3_disease_term": ["膨出"]}
间质性肌炎	M60.100	{"1_region_term": ["肌"], "dummy_term": ["间质性", "炎"]}
输卵管绝育	Z30.202	{"1_region_term": ["输卵管"], "dummy_term": ["绝育"]}
胫后动脉损伤	S85.101	{"1_region_term": ["动脉"], "dummy_term": ["胫", "后"], "3_disease_term": ["损伤"]}
恐怖状态	F40.901	{"dummy_term": ["恐怖", "状态"]}
其他特指的核黄疸	P57.8	{"dummy_term": ["其他", "特指", "的", "核", "黄疸"]}
原发性高血压	I10.x09	{"dummy_term": ["原发性", "高血压"]}
网膜良性肿瘤	D20.101	{"1_region_term": ["网膜"], "dummy_term": ["良性肿瘤"]}
踝开放性伤口	S91.000	{"1_region_term": ["踝"], "3_disease_term": ["开放性", "伤口"]}
鸡趾	M20.505	{"1_region_term": ["趾"], "dummy_term": ["鸡"]}
舌腹面恶性肿瘤	C02.200	{"1_region_term": ["舌"], "dummy_term": ["腹面", "恶性肿瘤"]}
颅脑外伤所致精神障碍	F06.904	{"dummy_term": ["颅脑", "外伤", "所致", "精神障碍"]}
胰岛恶性肿瘤	C25.401	{"dummy_term": ["胰岛", "恶性肿瘤"]}
持续性先兆不伴脑梗死	G43.801	{"dummy_term": ["持续性", "先兆", "不", "伴", "脑梗死"]}
脑性发热	G04.922	{"1_region_term": ["脑"], "dummy_term": ["性", "发热"]}
与考试不及格有关，具有潜在健康问题	Z55.200	{"dummy_term": ["与", "考试", "不及格", "有关", ",", "具有", "潜在", "健康", "问题"]}
肘开放性伤口	S51.000	{"1_region_term": ["肘"], "3_disease_term": ["开放性", "伤口"]}
卵巢肿瘤	D39.101	{"1_region_term": ["卵巢"], "dummy_term": ["肿瘤"]}
重型运输车的车辆外人员在重型运输车与两轮或三轮机动车碰撞非交通事故中的损伤	V62.2	{"dummy_term": ["重型", "运输车", "的", "车辆", "外", "人员", "在", "重型", "运输车", "与", "两轮", "或", "三轮", "机动车", "碰撞", "非", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
革兰氏阴性病原体性败血症，其他的	A41.500	{"dummy_term": ["革兰氏", "阴性", "病原体", "性", "败血症", ",", "其他", "的"]}
原发性血小板减少症	D69.403	{"dummy_term": ["原发性", "减少", "症"], "5_others_term": ["血小板"]}
喉和气管挤压伤	S17.000	{"1_region_term": ["喉", "气管"], "dummy_term": ["和", "挤压", "伤"]}
肠绞痛	R10.401	{"dummy_term": ["肠绞痛"]}
未特指的胃小弯恶性肿瘤	C16.5	{"1_region_term": ["胃"], "dummy_term": ["未", "特指", "的", "弯", "恶性肿瘤"], "5_others_term": ["小"]}
海洛因中毒	T40.100	{"dummy_term": ["海洛因", "中毒"]}
喉咽反流	K21.903	{"1_region_term": ["喉咽"], "dummy_term": ["反", "流"]}
病毒性肝炎，伴有肝昏迷	B19.000	{"1_region_term": ["肝"], "dummy_term": ["病毒性", "肝炎", ",", "伴有", "昏迷"]}
产程和分娩并发其他脐带缠绕	O69.200	{"dummy_term": ["产程", "和", "分娩", "并发", "其他", "脐带", "缠绕"]}
嗜酸细胞性膀胱炎	N30.807	{"dummy_term": ["嗜", "酸", "细胞", "性", "膀胱炎"]}
其他特指传染性病原体引起的肺炎	J16.8	{"dummy_term": ["其他", "特指", "传染性", "病原体", "引起", "的", "肺炎"]}
二度烧伤,身体部位未特指	T30.2	{"dummy_term": ["二度", "烧伤", "部位", "未", "特指"], "5_others_term": ["身体"]}
头颈部囊肿	L72.901	{"dummy_term": ["头颈部"], "3_disease_term": ["囊肿"]}
附睾阴囊瘘	N50.804	{"1_region_term": ["附睾", "阴囊"], "3_disease_term": ["瘘"]}
胎盘滞留伴出血	O72.002	{"1_region_term": ["胎盘"], "dummy_term": ["滞留", "伴", "出", "血"]}
交通事故中全地带或其他越野机动车上的乘员的损伤	V86.300	{"dummy_term": ["交通事故", "全", "地带", "或", "其他", "越野", "机动车", "上", "的", "乘员", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
以前剖宫产术后的阴道分娩	O75.700	{"1_region_term": ["阴道"], "dummy_term": ["以前", "后", "的", "分娩"], "2_operation_term": ["剖宫产术"]}
食管反流	K21.901	{"1_region_term": ["食管"], "dummy_term": ["反", "流"]}
舌疾病	K14	{"1_region_term": ["舌"], "dummy_term": ["疾病"]}
高龄初孕妇的监督	Z35.500	{"dummy_term": ["高龄", "初", "孕妇", "的", "监督"]}
主要影响自主神经系统药物的有害效应	Y51	{"dummy_term": ["主要", "影响", "自主神经", "系统", "的", "有害", "效应"], "5_others_term": ["药物"]}
产前播散性血管内凝血	O46.001	{"1_region_term": ["血管内"], "dummy_term": ["播散", "性", "凝血"], "5_others_term": ["产前"]}
胸膜错构瘤	Q85.908	{"1_region_term": ["胸膜"], "dummy_term": ["错构瘤"]}
髋部挤压伤	S77.000	{"dummy_term": ["髋部", "挤压", "伤"]}
上消化道穿孔	K27.503	{"1_region_term": ["上消化道"], "3_disease_term": ["穿孔"]}
高龄经产妇妊娠监督	Z35.401	{"dummy_term": ["高龄", "经产妇", "妊娠", "监督"]}
脑膜良性肿瘤	D32.000	{"1_region_term": ["脑膜"], "dummy_term": ["良性肿瘤"]}
胸骨脱位	S23.203	{"1_region_term": ["胸骨"], "3_disease_term": ["脱位"]}
未特指的引产失败	O61.9	{"dummy_term": ["未", "特指", "的", "引产", "失败"]}
斜颈	M43.600	{"dummy_term": ["斜颈"]}
脑脊髓炎	G04.911	{"dummy_term": ["脑脊髓", "炎"]}
肾病综合征,弥漫性毛细血管内增生性肾小球肾炎	N04.4	{"dummy_term": ["肾病", "综合征", "弥漫性", "毛细血管", "内", "增生", "性", "肾小球", "肾炎"]}
变应性鼻炎	J30.400	{"dummy_term": ["变应性", "鼻炎"]}
金黄色葡萄球菌性败血症	A41.000	{"dummy_term": ["金黄色", "葡萄球菌", "性", "败血症"]}
鼻溃疡	J34.003	{"1_region_term": ["鼻"], "dummy_term": ["溃疡"]}
突发特发性听觉丧失	H91.200	{"dummy_term": ["突发", "特发性", "听觉", "丧失"]}
淀粉样变心脏损害	E85.416†I43.1*	{"1_region_term": ["心脏"], "dummy_term": ["淀粉样变", "损害"]}
十二指肠肿物	K31.903	{"1_region_term": ["十二指肠"], "dummy_term": ["肿物"]}
性发育畸形	Q99.801	{"dummy_term": ["性", "发育畸形"]}
纤维瘤病	M72.921	{"dummy_term": ["纤维瘤", "病"]}
脑弓形虫病	B58.201†G05.2*	{"1_region_term": ["脑"], "dummy_term": ["弓形虫", "病"]}
眼睑皮炎	H01.101	{"1_region_term": ["眼睑"], "dummy_term": ["皮炎"]}
抗促性腺激素药、抗雌激素药、抗雄激素药中毒,不可归类在他处者	T38.6	{"dummy_term": ["抗", "促性腺激", "素", "药", ",", "抗", "雌激素", "药", ",", "抗", "雄激素", "药", "中毒", "不可", "归类", "在", "他", "处", "者"]}
卵巢囊肿	N83.201	{"dummy_term": ["卵巢囊肿"]}
肠系膜裂伤	S36.802	{"1_region_term": ["肠系膜"], "3_disease_term": ["裂伤"]}
手术和医疗操作的后遗症作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故	Y88.300	{"dummy_term": ["和", "医疗", "的", "后遗症", "作为", "病人", "异常", "反应", "或", "以后", "并发症", "的", "原因", ",", "而", "在", "当时", "并未", "提及", "意外事故"], "2_operation_term": ["手术"], "5_others_term": ["操作", "操作"]}
胆汁性胸膜炎	R09.101	{"dummy_term": ["胆汁", "性", "胸膜炎"]}
卵巢、卵巢蒂和输卵管的扭转	N83.500	{"1_region_term": ["卵巢", "卵巢", "输卵管"], "dummy_term": [",", "蒂", "和", "的"], "3_disease_term": ["扭转"]}
红核丘脑综合征	I66.203	{"1_region_term": ["丘脑"], "dummy_term": ["红", "核", "综合征"]}
白血病前期综合征	D46.901	{"dummy_term": ["白血病", "前期", "综合征"]}
梅毒性大脑动脉炎	A52.001†I68.1*	{"1_region_term": ["大脑"], "dummy_term": ["梅毒", "性", "动脉炎"]}
肠造瘘术后肠粘膜脱垂	K91.804	{"1_region_term": ["肠", "肠"], "dummy_term": ["后", "粘膜"], "2_operation_term": ["造瘘术"], "3_disease_term": ["脱垂"]}
结核性气胸，细胞学（组织学）（-）	A16.033	{"dummy_term": ["结核性", "气胸", ",", "细胞学", "(", "组织学", ")", "(", "-", ")"]}
妊娠合并烟雾病	O99.433	{"dummy_term": ["妊娠", "合", "并", "烟雾", "病"]}
大脑血管的其他畸形	Q28.300	{"1_region_term": ["大脑", "血管"], "dummy_term": ["的", "其他"], "3_disease_term": ["畸形"]}
贝内特骨折	S62.201	{"dummy_term": ["贝内特"], "3_disease_term": ["骨折"]}
双眼视力的其他疾患	H53.300	{"dummy_term": ["双眼", "的", "其他", "疾患"], "5_others_term": ["视力"]}
创伤后双侧膝关节病	M17.200	{"1_region_term": ["膝关节"], "dummy_term": ["创伤", "后", "病"], "5_others_term": ["双侧"]}
上肢短骨恶性肿瘤	C40.100	{"1_region_term": ["上肢"], "dummy_term": ["短骨", "恶性肿瘤"]}
腹壁结缔组织动态未定肿瘤	D48.117	{"1_region_term": ["腹壁"], "dummy_term": ["结缔组织", "动态", "未定", "肿瘤"]}
尿道阴道瘘	N82.101	{"1_region_term": ["尿道", "阴道"], "3_disease_term": ["瘘"]}
特发于围生期未特指的感染	P39.9	{"dummy_term": ["特发", "于", "围", "生", "期", "未", "特指", "的", "感染"]}
接触爆炸物,意图不确定的	Y25	{"dummy_term": ["接触", "爆炸物", "意图", "不", "确定", "的"]}
睑裂狭小	H02.501	{"1_region_term": ["睑裂"], "dummy_term": ["狭小"]}
异物吸入性窒息	T17.901	{"dummy_term": ["吸入性", "窒息"], "5_others_term": ["异物"]}
日光性皮炎	L57.802	{"dummy_term": ["日光", "性皮炎"]}
第六[展]神经麻痹	H49.200	{"1_region_term": ["神经"], "dummy_term": ["第六", "[", "展", "]", "麻痹"]}
鼻孔良性肿瘤	D14.006	{"dummy_term": ["鼻孔", "良性肿瘤"]}
小脑幕裂孔疝	G93.503	{"1_region_term": ["小脑"], "dummy_term": ["幕"], "3_disease_term": ["裂孔", "疝"]}
更换子宫内节育器	Z30.501	{"1_region_term": ["子宫内"], "dummy_term": ["更换", "节育器"]}
其他和未特指的肝细胞损害所致的新生儿黄疸	P59.2	{"dummy_term": ["其他", "和", "未", "特指", "的", "肝细胞", "损害", "所致", "的", "新生儿", "黄疸"]}
使用阿片类物质引起的其他精神和行为障碍	F11.800	{"dummy_term": ["使用", "阿片类", "物质", "引起", "的", "其他", "精神", "和", "行为障碍"]}
视神经良性肿瘤	D33.302	{"1_region_term": ["视神经"], "dummy_term": ["良性肿瘤"]}
克里格勒-纳贾综合征	E80.500	{"dummy_term": ["克里", "格勒", "-", "纳", "贾", "综合征"]}
动脉痉挛	I73.903	{"1_region_term": ["动脉"], "dummy_term": ["痉挛"]}
新生儿惊厥	P90.x00	{"dummy_term": ["新生儿", "惊厥"]}
未特指的结缔组织和其他软组织良性肿瘤	D21.9	{"1_region_term": ["软组织"], "dummy_term": ["未", "特指", "的", "结缔组织", "和", "其他", "良性肿瘤"]}
手术后胃小肠瘘	K31.607	{"1_region_term": ["胃", "小肠"], "5_others_term": ["手术后"], "3_disease_term": ["瘘"]}
脑梗死，其他的	I63.800	{"dummy_term": ["脑梗死", ",", "其他", "的"]}
新生儿代谢性碱中毒	P74.402	{"dummy_term": ["新生儿", "代谢性", "碱中毒"]}
齿中突	K00.207	{"dummy_term": ["齿", "突"], "5_others_term": ["中"]}
动静脉血管瘤	D18.010	{"1_region_term": ["动静脉"], "dummy_term": ["血管瘤"]}
[任何]公共汽车乘员在未特指交通事故中的损伤	V79.9	{"dummy_term": ["[", "任何", "]", "公共汽车", "乘员", "在", "未", "特指", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
胸部脊髓其他和未特指的损伤	S24.1	{"1_region_term": ["胸部", "脊髓"], "dummy_term": ["其他", "和", "未", "特指", "的"], "3_disease_term": ["损伤"]}
其他视网膜动脉阻塞	H34.2	{"1_region_term": ["视网膜", "动脉"], "dummy_term": ["其他", "阻塞"]}
入脑前动脉的闭塞和狭窄,未造成脑梗死	I65	{"1_region_term": ["脑", "动脉"], "dummy_term": ["入", "前", "的", "闭塞", "和", "未", "造成", "脑梗死"], "3_disease_term": ["狭窄"]}
癔病性瘫痪	F44.404	{"dummy_term": ["癔病", "性", "瘫痪"]}
脑膨出，其他部位的	Q01.800	{"1_region_term": ["脑"], "dummy_term": [",", "其他", "部位", "的"], "3_disease_term": ["膨出"]}
晚发性阿尔茨海默病性痴呆(G30.1+)	F00.1*	{"dummy_term": ["晚", "发性", "阿尔茨海默", "病", "性", "痴呆", "(", "G1", "+", ")"]}
生殖器官淋巴管瘤	D18.108	{"1_region_term": ["淋巴管"], "dummy_term": ["生殖器官"], "3_disease_term": ["瘤"]}
脊髓灰质炎后综合征	G14	{"dummy_term": ["脊髓灰质炎", "后", "综合征"]}
甲状腺相关性眼病	E05.002†H06.2*	{"1_region_term": ["甲状腺"], "dummy_term": ["相关性", "眼病"]}
铍中毒	J63.200	{"dummy_term": ["铍", "中毒"]}
遗传性肾病伴有轻微的肾小球异常，不可归类在他处者	N07.000	{"dummy_term": ["遗传性", "肾病", "伴有", "轻微", "的", "肾小球", "异常", ",", "不可", "归类", "在", "他", "处", "者"]}
腹部、下背和骨盆部位未特指的浅表损伤	S30.9	{"1_region_term": ["腹部", "骨盆"], "dummy_term": [",", "下", "背", "和", "部位", "未", "特指", "的", "浅表"], "3_disease_term": ["损伤"]}
肘部皮肤恶性肿瘤	C44.604	{"1_region_term": ["皮肤"], "dummy_term": ["肘部", "恶性肿瘤"]}
腹内和盆腔器官损伤后遗症	T91.500	{"1_region_term": ["腹内", "盆腔"], "dummy_term": ["和", "器官", "后遗症"], "3_disease_term": ["损伤"]}
卵巢和输卵管脱垂和疝	N83.400	{"1_region_term": ["卵巢", "输卵管"], "dummy_term": ["和", "和"], "3_disease_term": ["脱垂", "疝"]}
皮肤瘢痕子宫内膜异位症	N80.6	{"1_region_term": ["皮肤", "子宫内膜"], "3_disease_term": ["瘢痕", "异位症"]}
抗精神病药和精神安定剂中毒	T43.501	{"dummy_term": ["抗", "精神病", "药", "和", "精神", "安定剂", "中毒"]}
膀胱输尿管瘘	N32.202	{"1_region_term": ["膀胱", "输尿管"], "3_disease_term": ["瘘"]}
血液及造血器官疾病和某些涉及免疫机制的疾患家族史	Z83.200	{"dummy_term": ["及", "造血", "器官", "疾病", "和", "某些", "涉及", "免疫", "机制", "的", "疾患", "家族史"], "5_others_term": ["血液"]}
甲剥离	L60.100	{"1_region_term": ["甲"], "dummy_term": ["剥离"]}
脊髓良性肿瘤	D33.400	{"1_region_term": ["脊髓"], "dummy_term": ["良性肿瘤"]}
股骨头无菌性坏死	M87.802	{"1_region_term": ["股骨头"], "dummy_term": ["无菌", "性", "坏死"]}
老年性成熟期白内障	H25.002	{"1_region_term": ["白内障"], "dummy_term": ["老年性", "成熟期"]}
外分泌汗腺疾患，其他的	L74.800	{"dummy_term": ["外分泌", "汗腺", "疾患", ",", "其他", "的"]}
取除下腔静脉滤器	Z45.201	{"1_region_term": ["下腔静脉"], "dummy_term": ["取", "除"], "4_implant_term": ["滤器"]}
肠系膜继发恶性肿瘤	C78.603	{"1_region_term": ["肠系膜"], "dummy_term": ["继发", "恶性肿瘤"]}
硬腭和软腭裂伴有双侧唇裂	Q37.400	{"1_region_term": ["硬腭"], "dummy_term": ["和", "软", "腭裂", "伴有", "唇裂"], "5_others_term": ["双侧"]}
